,reaction_idx,uid,substrates,products,reaction_smiles,label,simulation_idx
0,0,0,O=C1C=CC2(C=C1I)OCCO2.C1=CCC=C1,O=C1C(I)=CC2(OCCO2)C2C3C=CC(C3)C12,O=C1C=CC2(C=C1I)OCCO2.C1=CCC=C1>>O=C1C(I)=CC2(OCCO2)C2C3C=CC(C3)C12,1,0.0
1,0,1,O=C1C=CC2(C=C1I)OCCO2.C1=CCC=C1,O=C1C=CC2(OCCO2)C2C3C=CC(C3)C12I,O=C1C=CC2(C=C1I)OCCO2.C1=CCC=C1>>O=C1C=CC2(OCCO2)C2C3C=CC(C3)C12I,0,0.0
2,6,2,C=C(C)C=O.COC(=O)C1(C)CCCC2(C)C(C=CSc3ccccc3)=CCCC12,COC(=O)C1(C)CCCC2(C)C3=CC(Sc4ccccc4)CC(C)(C=O)C3CCC12,C=C(C)C=O.COC(=O)C1(C)CCCC2(C)C(C=CSc3ccccc3)=CCCC12>>COC(=O)C1(C)CCCC2(C)C3=CC(Sc4ccccc4)CC(C)(C=O)C3CCC12,0,0.0
3,6,3,C=C(C)C=O.COC(=O)C1(C)CCCC2(C)C(C=CSc3ccccc3)=CCCC12,COC(=O)C1(C)CCCC2(C)C3=CC(Sc4ccccc4)C(C)(C=O)CC3CCC12,C=C(C)C=O.COC(=O)C1(C)CCCC2(C)C(C=CSc3ccccc3)=CCCC12>>COC(=O)C1(C)CCCC2(C)C3=CC(Sc4ccccc4)C(C)(C=O)CC3CCC12,1,0.0
4,8,4,C=CC=COC(C)=O.C=CC=O,CC(=O)OC1C=CCCC1C=O,C=CC=COC(C)=O.C=CC=O>>CC(=O)OC1C=CCCC1C=O,1,0.0
5,8,5,C=CC=COC(C)=O.C=CC=O,CC(=O)OC1C=CCC(C=O)C1,C=CC=COC(C)=O.C=CC=O>>CC(=O)OC1C=CCC(C=O)C1,0,0.0
6,18,6,COC1=C(OC)C(=O)C(C)=CC1=O.C1=CCC=C1,COC12C(=O)C=C(C)C(=O)C1(OC)C1C=CC2C1,COC1=C(OC)C(=O)C(C)=CC1=O.C1=CCC=C1>>COC12C(=O)C=C(C)C(=O)C1(OC)C1C=CC2C1,0,0.0
7,18,7,COC1=C(OC)C(=O)C(C)=CC1=O.C1=CCC=C1,COC1=C(OC)C(=O)C2(C)C3C=CC(C3)C2C1=O,COC1=C(OC)C(=O)C(C)=CC1=O.C1=CCC=C1>>COC1=C(OC)C(=O)C2(C)C3C=CC(C3)C2C1=O,1,0.0
8,25,8,C=C(C)C=C(C)C.C=CC(C)=O,CC(=O)C1CCC(C)=CC1(C)C,C=C(C)C=C(C)C.C=CC(C)=O>>CC(=O)C1CCC(C)=CC1(C)C,1,0.0
9,25,9,C=C(C)C=C(C)C.C=CC(C)=O,CC(=O)C1CC(C)=CC(C)(C)C1,C=C(C)C=C(C)C.C=CC(C)=O>>CC(=O)C1CC(C)=CC(C)(C)C1,0,0.0
10,33,10,C=C(C)C=O.C=CC(=C)C,CC1=CCCC(C)(C=O)C1,C=C(C)C=O.C=CC(=C)C>>CC1=CCCC(C)(C=O)C1,0,0.0
11,33,11,C=C(C)C=O.C=CC(=C)C,CC1=CCC(C)(C=O)CC1,C=C(C)C=O.C=CC(=C)C>>CC1=CCC(C)(C=O)CC1,1,0.0
12,36,12,CC1=C(C)C(=O)C=CC1=O.C=CC(=C)O[Si](C(C)C)(C(C)C)C(C)C,CC1=C(C)C(=O)C2CC(O[Si](C(C)C)(C(C)C)C(C)C)=CCC2C1=O,CC1=C(C)C(=O)C=CC1=O.C=CC(=C)O[Si](C(C)C)(C(C)C)C(C)C>>CC1=C(C)C(=O)C2CC(O[Si](C(C)C)(C(C)C)C(C)C)=CCC2C1=O,1,0.0
13,36,13,CC1=C(C)C(=O)C=CC1=O.C=CC(=C)O[Si](C(C)C)(C(C)C)C(C)C,CC(C)[Si](OC1=CCC2(C)C(=O)C=CC(=O)C2(C)C1)(C(C)C)C(C)C,CC1=C(C)C(=O)C=CC1=O.C=CC(=C)O[Si](C(C)C)(C(C)C)C(C)C>>CC(C)[Si](OC1=CCC2(C)C(=O)C=CC(=O)C2(C)C1)(C(C)C)C(C)C,0,0.0
14,37,14,C=CC(=C)CCC=C(C)C.O=C(C=Cc1ccccc1)c1ccccc1,CC(C)=CCCC1=CCC(c2ccccc2)C(C(=O)c2ccccc2)C1,C=CC(=C)CCC=C(C)C.O=C(C=Cc1ccccc1)c1ccccc1>>CC(C)=CCCC1=CCC(c2ccccc2)C(C(=O)c2ccccc2)C1,0,0.0
15,37,15,C=CC(=C)CCC=C(C)C.O=C(C=Cc1ccccc1)c1ccccc1,CC(C)=CCCC1=CCC(C(=O)c2ccccc2)C(c2ccccc2)C1,C=CC(=C)CCC=C(C)C.O=C(C=Cc1ccccc1)c1ccccc1>>CC(C)=CCCC1=CCC(C(=O)c2ccccc2)C(c2ccccc2)C1,1,0.0
16,38,16,CC1=CC(C)CCC1=O.C=CC(=C)C,CC1=CCC2C(C)CCC(=O)C2(C)C1,CC1=CC(C)CCC1=O.C=CC(=C)C>>CC1=CCC2C(C)CCC(=O)C2(C)C1,0,0.0
17,38,17,CC1=CC(C)CCC1=O.C=CC(=C)C,CC1=CCC2(C)C(=O)CCC(C)C2C1,CC1=CC(C)CCC1=O.C=CC(=C)C>>CC1=CCC2(C)C(=O)CCC(C)C2C1,1,0.0
18,39,18,CC=C(C)C=O.C=CC=CCC(=O)OCC,CCOC(=O)CC1C=CCC(C)(C=O)C1C,CC=C(C)C=O.C=CC=CCC(=O)OCC>>CCOC(=O)CC1C=CCC(C)(C=O)C1C,0,0.0
19,39,19,CC=C(C)C=O.C=CC=CCC(=O)OCC,CCOC(=O)CC1C=CCC(C)C1(C)C=O,CC=C(C)C=O.C=CC=CCC(=O)OCC>>CCOC(=O)CC1C=CCC(C)C1(C)C=O,1,0.0
20,40,20,ClC(Cl)=C1C=CC=C1.O=C1C=CC(=O)C=C1,O=C1C=CC(=O)C2C3C=CC(C3=C(Cl)Cl)C12,ClC(Cl)=C1C=CC=C1.O=C1C=CC(=O)C=C1>>O=C1C=CC(=O)C2C3C=CC(C3=C(Cl)Cl)C12,1,0.0
21,40,21,ClC(Cl)=C1C=CC=C1.O=C1C=CC(=O)C=C1,O=C1C=CC(=O)C2C1C1C=CC(=C1)C2(Cl)Cl,ClC(Cl)=C1C=CC=C1.O=C1C=CC(=O)C=C1>>O=C1C=CC(=O)C2C1C1C=CC(=C1)C2(Cl)Cl,0,0.0
22,42,22,C=CC=O.C=CC(=C)C,CC1=CCC(C=O)CC1,C=CC=O.C=CC(=C)C>>CC1=CCC(C=O)CC1,1,0.0
23,42,23,C=CC=O.C=CC(=C)C,CC1=CCCC(C=O)C1,C=CC=O.C=CC(=C)C>>CC1=CCCC(C=O)C1,0,0.0
24,46,24,O=C(C=Cc1ccccc1)c1ccccc1.C=CC(=C)C,CC1=CCC(C(=O)c2ccccc2)C(c2ccccc2)C1,O=C(C=Cc1ccccc1)c1ccccc1.C=CC(=C)C>>CC1=CCC(C(=O)c2ccccc2)C(c2ccccc2)C1,1,0.0
