,smiles,descriptors
0,[CH:12]1=[CH:16][CH:15]=[CH:14][CH2:13]1.[O:1]=[C:2]1[C:3]([I:4])=[CH:5][C:6]2([O:7][CH2:8][CH2:9][O:10]2)[CH:11]=[CH:17]1>>[O:1]=[C:2]1[C:3]([I:4])=[CH:5][C:6]2([O:7][CH2:8][CH2:9][O:10]2)[CH:11]2[CH:12]3[CH:13]=[CH:14][CH:15]([CH2:16]3)[CH:17]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,[CH:11]1=[CH:12][CH2:13][CH:14]=[CH:15]1.[O:1]=[C:2]1[CH:3]=[CH:4][C:5]2([O:6][CH2:7][CH2:8][O:9]2)[CH:10]=[C:16]1[I:17]>>[O:1]=[C:2]1[CH:3]=[CH:4][C:5]2([O:6][CH2:7][CH2:8][O:9]2)[CH:10]2[CH:11]3[CH:12]=[CH:13][CH:14]([CH2:15]3)[C:16]12[I:17],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,[CH2:22]=[C:23]([CH3:24])[CH:25]=[O:26].[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C:10]2([CH3:11])[C:12]([CH:13]=[CH:14][S:15][c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)=[CH:27][CH2:28][CH2:29][CH:30]12>>[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C:10]2([CH3:11])[C:12]3=[CH:13][CH:14]([S:15][c:16]4[cH:17][cH:18][cH:19][cH:20][cH:21]4)[CH2:22][C:23]([CH3:24])([CH:25]=[O:26])[CH:27]3[CH2:28][CH2:29][CH:30]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,[C:22]([CH3:23])([CH:24]=[O:25])=[CH2:26].[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C:10]2([CH3:11])[C:12]([CH:13]=[CH:14][S:15][c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)=[CH:27][CH2:28][CH2:29][CH:30]12>>[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C:10]2([CH3:11])[C:12]3=[CH:13][CH:14]([S:15][c:16]4[cH:17][cH:18][cH:19][cH:20][cH:21]4)[C:22]([CH3:23])([CH:24]=[O:25])[CH2:26][CH:27]3[CH2:28][CH2:29][CH:30]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,[CH3:1][C:2](=[O:3])[O:4][CH:5]=[CH:6][CH:7]=[CH2:8].[CH2:9]=[CH:10][CH:11]=[O:12]>>[CH3:1][C:2](=[O:3])[O:4][CH:5]1[CH:6]=[CH:7][CH2:8][CH2:9][CH:10]1[CH:11]=[O:12],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,[CH3:1][C:2](=[O:3])[O:4][CH:5]=[CH:6][CH:7]=[CH2:8].[CH:9]([CH:10]=[O:11])=[CH2:12]>>[CH3:1][C:2](=[O:3])[O:4][CH:5]1[CH:6]=[CH:7][CH2:8][CH:9]([CH:10]=[O:11])[CH2:12]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,[CH:14]1=[CH:15][CH:16]=[CH:17][CH2:18]1.[CH3:1][O:2][C:3]1=[C:11]([O:12][CH3:13])[C:9](=[O:10])[C:7]([CH3:8])=[CH:6][C:4]1=[O:5]>>[CH3:1][O:2][C:3]12[C:4](=[O:5])[CH:6]=[C:7]([CH3:8])[C:9](=[O:10])[C:11]1([O:12][CH3:13])[CH:14]1[CH:15]=[CH:16][CH:17]2[CH2:18]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,[CH:11]1=[CH:12][CH:13]=[CH:14][CH2:15]1.[CH3:1][O:2][C:3]1=[C:4]([O:5][CH3:6])[C:7](=[O:8])[C:9]([CH3:10])=[CH:16][C:17]1=[O:18]>>[CH3:1][O:2][C:3]1=[C:4]([O:5][CH3:6])[C:7](=[O:8])[C:9]2([CH3:10])[CH:11]3[CH:12]=[CH:13][CH:14]([CH2:15]3)[CH:16]2[C:17]1=[O:18],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,[CH2:6]=[C:7]([CH3:8])[CH:9]=[C:10]([CH3:11])[CH3:12].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH3:1][C:2](=[O:3])[CH:4]1[CH2:5][CH2:6][C:7]([CH3:8])=[CH:9][C:10]1([CH3:11])[CH3:12],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,[C:6]([CH3:7])([CH:8]=[C:9]([CH3:10])[CH3:12])=[CH2:11].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH3:1][C:2](=[O:3])[CH:4]1[CH2:5][C:6]([CH3:7])=[CH:8][C:9]([CH3:10])([CH3:11])[CH2:12]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,[CH2:5]=[C:6]([CH3:7])[CH:8]=[O:9].[CH3:1][C:2]([CH:3]=[CH2:4])=[CH2:10]>>[CH3:1][C:2]1=[CH:3][CH2:4][CH2:5][C:6]([CH3:7])([CH:8]=[O:9])[CH2:10]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,[CH2:4]=[C:5]([CH3:6])[CH:7]=[O:8].[CH3:1][C:2]([CH:3]=[CH2:9])=[CH2:10]>>[CH3:1][C:2]1=[CH:3][CH2:4][C:5]([CH3:6])([CH:7]=[O:8])[CH2:9][CH2:10]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,[CH2:8]=[C:9]([O:10][Si:11]([CH:12]([CH3:13])[CH3:14])([CH:15]([CH3:16])[CH3:17])[CH:18]([CH3:19])[CH3:20])[CH:21]=[CH2:22].[CH3:1][C:2]1=[C:3]([CH3:4])[C:5](=[O:6])[CH:7]=[CH:23][C:24]1=[O:25]>>[CH3:1][C:2]1=[C:3]([CH3:4])[C:5](=[O:6])[CH:7]2[CH2:8][C:9]([O:10][Si:11]([CH:12]([CH3:13])[CH3:14])([CH:15]([CH3:16])[CH3:17])[CH:18]([CH3:19])[CH3:20])=[CH:21][CH2:22][CH:23]2[C:24]1=[O:25],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,[CH3:1][CH:2]([CH3:3])[Si:4]([O:5][C:6]([CH:7]=[CH2:8])=[CH2:19])([CH:20]([CH3:21])[CH3:22])[CH:23]([CH3:24])[CH3:25].[C:9]1([CH3:10])=[C:17]([CH3:18])[C:15](=[O:16])[CH:14]=[CH:13][C:11]1=[O:12]>>[CH3:1][CH:2]([CH3:3])[Si:4]([O:5][C:6]1=[CH:7][CH2:8][C:9]2([CH3:10])[C:11](=[O:12])[CH:13]=[CH:14][C:15](=[O:16])[C:17]2([CH3:18])[CH2:19]1)([CH:20]([CH3:21])[CH3:22])[CH:23]([CH3:24])[CH3:25],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][CH2:6][C:7]([CH:8]=[CH2:9])=[CH2:26].[CH:10]([c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)=[CH:17][C:18](=[O:19])[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1>>[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][CH2:6][C:7]1=[CH:8][CH2:9][CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH:17]([C:18](=[O:19])[c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[CH2:26]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][CH2:6][C:7]([CH:8]=[CH2:9])=[CH2:26].[CH:10]([C:11](=[O:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)=[CH:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1>>[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][CH2:6][C:7]1=[CH:8][CH2:9][CH:10]([C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH:19]([c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[CH2:26]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
