,Unnamed: 0,reaction_idx,uid,substrates,products,reaction_smiles,label,simulation_idx,smiles
0,0,0,0,O=C1C=CC2(C=C1I)OCCO2.C1=CCC=C1,O=C1C(I)=CC2(OCCO2)C2C3C=CC(C3)C12,O=C1C=CC2(C=C1I)OCCO2.C1=CCC=C1>>O=C1C(I)=CC2(OCCO2)C2C3C=CC(C3)C12,1,0.0,[CH:12]1=[CH:16][CH:15]=[CH:14][CH2:13]1.[O:1]=[C:2]1[C:3]([I:4])=[CH:5][C:6]2([O:7][CH2:8][CH2:9][O:10]2)[CH:11]=[CH:17]1>>[O:1]=[C:2]1[C:3]([I:4])=[CH:5][C:6]2([O:7][CH2:8][CH2:9][O:10]2)[CH:11]2[CH:12]3[CH:13]=[CH:14][CH:15]([CH2:16]3)[CH:17]12
1,1,0,1,O=C1C=CC2(C=C1I)OCCO2.C1=CCC=C1,O=C1C=CC2(OCCO2)C2C3C=CC(C3)C12I,O=C1C=CC2(C=C1I)OCCO2.C1=CCC=C1>>O=C1C=CC2(OCCO2)C2C3C=CC(C3)C12I,0,0.0,[CH:11]1=[CH:12][CH2:13][CH:14]=[CH:15]1.[O:1]=[C:2]1[CH:3]=[CH:4][C:5]2([O:6][CH2:7][CH2:8][O:9]2)[CH:10]=[C:16]1[I:17]>>[O:1]=[C:2]1[CH:3]=[CH:4][C:5]2([O:6][CH2:7][CH2:8][O:9]2)[CH:10]2[CH:11]3[CH:12]=[CH:13][CH:14]([CH2:15]3)[C:16]12[I:17]
2,2,6,2,C=C(C)C=O.COC(=O)C1(C)CCCC2(C)C(C=CSc3ccccc3)=CCCC12,COC(=O)C1(C)CCCC2(C)C3=CC(Sc4ccccc4)CC(C)(C=O)C3CCC12,C=C(C)C=O.COC(=O)C1(C)CCCC2(C)C(C=CSc3ccccc3)=CCCC12>>COC(=O)C1(C)CCCC2(C)C3=CC(Sc4ccccc4)CC(C)(C=O)C3CCC12,0,0.0,[CH2:22]=[C:23]([CH3:24])[CH:25]=[O:26].[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C:10]2([CH3:11])[C:12]([CH:13]=[CH:14][S:15][c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)=[CH:27][CH2:28][CH2:29][CH:30]12>>[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C:10]2([CH3:11])[C:12]3=[CH:13][CH:14]([S:15][c:16]4[cH:17][cH:18][cH:19][cH:20][cH:21]4)[CH2:22][C:23]([CH3:24])([CH:25]=[O:26])[CH:27]3[CH2:28][CH2:29][CH:30]12
3,3,6,3,C=C(C)C=O.COC(=O)C1(C)CCCC2(C)C(C=CSc3ccccc3)=CCCC12,COC(=O)C1(C)CCCC2(C)C3=CC(Sc4ccccc4)C(C)(C=O)CC3CCC12,C=C(C)C=O.COC(=O)C1(C)CCCC2(C)C(C=CSc3ccccc3)=CCCC12>>COC(=O)C1(C)CCCC2(C)C3=CC(Sc4ccccc4)C(C)(C=O)CC3CCC12,1,0.0,[C:22]([CH3:23])([CH:24]=[O:25])=[CH2:26].[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C:10]2([CH3:11])[C:12]([CH:13]=[CH:14][S:15][c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)=[CH:27][CH2:28][CH2:29][CH:30]12>>[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[CH2:7][CH2:8][CH2:9][C:10]2([CH3:11])[C:12]3=[CH:13][CH:14]([S:15][c:16]4[cH:17][cH:18][cH:19][cH:20][cH:21]4)[C:22]([CH3:23])([CH:24]=[O:25])[CH2:26][CH:27]3[CH2:28][CH2:29][CH:30]12
4,4,8,4,C=CC=COC(C)=O.C=CC=O,CC(=O)OC1C=CCCC1C=O,C=CC=COC(C)=O.C=CC=O>>CC(=O)OC1C=CCCC1C=O,1,0.0,[CH3:1][C:2](=[O:3])[O:4][CH:5]=[CH:6][CH:7]=[CH2:8].[CH2:9]=[CH:10][CH:11]=[O:12]>>[CH3:1][C:2](=[O:3])[O:4][CH:5]1[CH:6]=[CH:7][CH2:8][CH2:9][CH:10]1[CH:11]=[O:12]
5,5,8,5,C=CC=COC(C)=O.C=CC=O,CC(=O)OC1C=CCC(C=O)C1,C=CC=COC(C)=O.C=CC=O>>CC(=O)OC1C=CCC(C=O)C1,0,0.0,[CH3:1][C:2](=[O:3])[O:4][CH:5]=[CH:6][CH:7]=[CH2:8].[CH:9]([CH:10]=[O:11])=[CH2:12]>>[CH3:1][C:2](=[O:3])[O:4][CH:5]1[CH:6]=[CH:7][CH2:8][CH:9]([CH:10]=[O:11])[CH2:12]1
6,6,18,6,COC1=C(OC)C(=O)C(C)=CC1=O.C1=CCC=C1,COC12C(=O)C=C(C)C(=O)C1(OC)C1C=CC2C1,COC1=C(OC)C(=O)C(C)=CC1=O.C1=CCC=C1>>COC12C(=O)C=C(C)C(=O)C1(OC)C1C=CC2C1,0,0.0,[CH:14]1=[CH:15][CH:16]=[CH:17][CH2:18]1.[CH3:1][O:2][C:3]1=[C:11]([O:12][CH3:13])[C:9](=[O:10])[C:7]([CH3:8])=[CH:6][C:4]1=[O:5]>>[CH3:1][O:2][C:3]12[C:4](=[O:5])[CH:6]=[C:7]([CH3:8])[C:9](=[O:10])[C:11]1([O:12][CH3:13])[CH:14]1[CH:15]=[CH:16][CH:17]2[CH2:18]1
7,7,18,7,COC1=C(OC)C(=O)C(C)=CC1=O.C1=CCC=C1,COC1=C(OC)C(=O)C2(C)C3C=CC(C3)C2C1=O,COC1=C(OC)C(=O)C(C)=CC1=O.C1=CCC=C1>>COC1=C(OC)C(=O)C2(C)C3C=CC(C3)C2C1=O,1,0.0,[CH:11]1=[CH:12][CH:13]=[CH:14][CH2:15]1.[CH3:1][O:2][C:3]1=[C:4]([O:5][CH3:6])[C:7](=[O:8])[C:9]([CH3:10])=[CH:16][C:17]1=[O:18]>>[CH3:1][O:2][C:3]1=[C:4]([O:5][CH3:6])[C:7](=[O:8])[C:9]2([CH3:10])[CH:11]3[CH:12]=[CH:13][CH:14]([CH2:15]3)[CH:16]2[C:17]1=[O:18]
8,8,25,8,C=C(C)C=C(C)C.C=CC(C)=O,CC(=O)C1CCC(C)=CC1(C)C,C=C(C)C=C(C)C.C=CC(C)=O>>CC(=O)C1CCC(C)=CC1(C)C,1,0.0,[CH2:6]=[C:7]([CH3:8])[CH:9]=[C:10]([CH3:11])[CH3:12].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH3:1][C:2](=[O:3])[CH:4]1[CH2:5][CH2:6][C:7]([CH3:8])=[CH:9][C:10]1([CH3:11])[CH3:12]
9,9,25,9,C=C(C)C=C(C)C.C=CC(C)=O,CC(=O)C1CC(C)=CC(C)(C)C1,C=C(C)C=C(C)C.C=CC(C)=O>>CC(=O)C1CC(C)=CC(C)(C)C1,0,0.0,[C:6]([CH3:7])([CH:8]=[C:9]([CH3:10])[CH3:12])=[CH2:11].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH3:1][C:2](=[O:3])[CH:4]1[CH2:5][C:6]([CH3:7])=[CH:8][C:9]([CH3:10])([CH3:11])[CH2:12]1
