,smiles,energies,reaction_smiles
0,[CH2:7]=[C:8]([CH3:9])[SH:10].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][OH:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([OH:6])[CH2:7][C:8]1([CH3:9])[SH:10],0.03505921894700137,CC=CC=CO.C=C(C)S>>CC1C=CC(O)CC1(C)S
1,[CH2:5]=[C:7]([CH3:8])[F:9].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:10][CH3:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([CH3:6])[C:7]([CH3:8])([F:9])[CH2:10]1,0.03351070223800079,CC=CC=CC.C=C(C)F>>CC1C=CC(C)C(C)(F)C1
2,[CH3:1][CH:2]=[CH:3][CH:4]=[CH2:5].[CH:6]([OH:7])=[C:8]([CH3:9])[F:10]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH2:5][CH:6]([OH:7])[C:8]1([CH3:9])[F:10],0.03602874094099917,C=CC=CC.CC(F)=CO>>CC1C=CCC(O)C1(C)F
3,[CH2:4]=[CH:5][CH:6]=[CH:7][SH:8].[NH2:1][C:2]([OH:3])=[C:9]([OH:10])[OH:11]>>[NH2:1][C:2]1([OH:3])[CH2:4][CH:5]=[CH:6][CH:7]([SH:8])[C:9]1([OH:10])[OH:11],0.05360321545600044,C=CC=CS.NC(O)=C(O)O>>NC1(O)CC=CC(S)C1(O)O
4,[C:8]([CH3:9])([CH3:10])=[C:11]([CH3:12])[OH:13].[CH3:1][C:2]([OH:3])=[CH:4][CH:5]=[CH:6][OH:7]>>[CH3:1][C:2]1([OH:3])[CH:4]=[CH:5][CH:6]([OH:7])[C:8]([CH3:9])([CH3:10])[C:11]1([CH3:12])[OH:13],0.042280111385998964,CC(O)=CC=CO.CC(C)=C(C)O>>CC1(O)C=CC(O)C(C)(C)C1(C)O
5,[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][CH3:6].[CH:7]([OH:8])=[CH:9][CH3:10]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([CH3:6])[CH:7]([OH:8])[CH:9]1[CH3:10],0.027880516208000472,CC=CC=CC.CC=CO>>CC1C=CC(C)C(O)C1C
6,[NH2:1][CH:2]=[CH:3][CH:4]=[C:5]([OH:6])[I:7].[CH:8]([NH2:9])=[CH:10][SH:11]>>[NH2:1][CH:2]1[CH:3]=[CH:4][C:5]([OH:6])([I:7])[CH:8]([NH2:9])[CH:10]1[SH:11],0.03824674322000021,NC=CC=C(O)I.NC=CS>>NC1C=CC(O)(I)C(N)C1S
7,[CH:5]([NH2:6])=[CH:7][CH:8]=[C:9]([CH3:10])[OH:11].[CH3:1][CH:2]=[CH:3][NH2:4]>>[CH3:1][CH:2]1[CH:3]([NH2:4])[CH:5]([NH2:6])[CH:7]=[CH:8][C:9]1([CH3:10])[OH:11],0.040709956295998495,CC(O)=CC=CN.CC=CN>>CC1C(N)C(N)C=CC1(C)O
8,[CH3:3][CH:4]=[CH2:5].[CH2:1]=[CH:2][CH:9]=[C:6]([CH3:7])[Cl:8]>>[CH3:1][CH:2]1[CH2:3][CH:4]=[CH:5][C:6]([CH3:7])([Cl:8])[CH2:9]1,0.029720800328000507,C=CC=C(C)Cl.C=CC>>CC1CC=CC(C)(Cl)C1
9,[CH2:5]=[C:6]([OH:7])[Br:8].[CH2:1]=[CH:2][CH:3]=[CH:4][CH3:9]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH2:5][C:6]([OH:7])([Br:8])[CH2:9]1,0.020494555230001765,C=CC=CC.C=C(O)Br>>CC1C=CCC(O)(Br)C1
10,[C:7]([CH3:8])([SH:9])=[CH:10][F:11].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][SH:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([SH:6])[C:7]([CH3:8])([SH:9])[CH:10]1[F:11],0.057014929072998655,CC=CC=CS.CC(S)=CF>>CC1C=CC(S)C(C)(S)C1F
11,[CH2:8]=[C:9]([CH3:10])[OH:11].[CH3:1][C:2]([I:3])=[CH:4][CH:5]=[CH:6][NH2:7]>>[CH3:1][C:2]1([I:3])[CH:4]=[CH:5][CH:6]([NH2:7])[CH2:8][C:9]1([CH3:10])[OH:11],0.04125252385200184,CC(I)=CC=CN.C=C(C)O>>CC1(I)C=CC(N)CC1(C)O
12,[CH3:1][C:2]([NH2:3])=[CH:10][OH:11].[CH:4]([NH2:5])=[CH:6][CH:7]=[CH:8][OH:9]>>[CH3:1][C:2]1([NH2:3])[CH:4]([NH2:5])[CH:6]=[CH:7][CH:8]([OH:9])[CH:10]1[OH:11],0.03765115263600194,NC=CC=CO.CC(N)=CO>>CC1(N)C(N)C=CC(O)C1O
13,[CH3:1][C:2]([OH:3])=[CH:4][CH:5]=[C:6]([OH:7])[OH:8].[C:9]([NH2:10])([NH2:11])=[CH:12][OH:13]>>[CH3:1][C:2]1([OH:3])[CH:4]=[CH:5][C:6]([OH:7])([OH:8])[C:9]([NH2:10])([NH2:11])[CH:12]1[OH:13],0.03671138475900193,CC(O)=CC=C(O)O.NC(N)=CO>>CC1(O)C=CC(O)(O)C(N)(N)C1O
