,reaction_idx,uid,substrates,products,reaction_smiles,labels,simulation_idx
0,2,0,C=C(C)C(=O)OC.COC1(OC)C=C(Br)C=CC1=O,COC(=O)C1(C)CC2C=C(Br)C1C(OC)(OC)C2=O,C=C(C)C(=O)OC.COC1(OC)C=C(Br)C=CC1=O>>COC(=O)C1(C)CC2C=C(Br)C1C(OC)(OC)C2=O,0,0.0
1,2,1,C=C(C)C(=O)OC.COC1(OC)C=C(Br)C=CC1=O,COC(=O)C1(C)CC2C(Br)=CC1C(=O)C2(OC)OC,C=C(C)C(=O)OC.COC1(OC)C=C(Br)C=CC1=O>>COC(=O)C1(C)CC2C(Br)=CC1C(=O)C2(OC)OC,1,0.0
2,6,2,C1=CCC=C1.COC1(OC)C(Cl)=C(Cl)C(Cl)=C1Cl,COC1(OC)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1CC=CC12,C1=CCC=C1.COC1(OC)C(Cl)=C(Cl)C(Cl)=C1Cl>>COC1(OC)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1CC=CC12,1,0.0
3,6,3,C1=CCC=C1.COC1(OC)C(Cl)=C(Cl)C(Cl)=C1Cl,COC1(OC)C(Cl)=C(Cl)C2(Cl)C3C=CC(C3)C12Cl,C1=CCC=C1.COC1(OC)C(Cl)=C(Cl)C(Cl)=C1Cl>>COC1(OC)C(Cl)=C(Cl)C2(Cl)C3C=CC(C3)C12Cl,0,0.0
4,7,4,C=CC(=O)CC.C=CC=CNC(=O)OCc1ccccc1,CCC(=O)C1CC=CC(NC(=O)OCc2ccccc2)C1,C=CC(=O)CC.C=CC=CNC(=O)OCc1ccccc1>>CCC(=O)C1CC=CC(NC(=O)OCc2ccccc2)C1,0,0.0
5,7,5,C=CC(=O)CC.C=CC=CNC(=O)OCc1ccccc1,CCC(=O)C1CCC=CC1NC(=O)OCc1ccccc1,C=CC(=O)CC.C=CC=CNC(=O)OCc1ccccc1>>CCC(=O)C1CCC=CC1NC(=O)OCc1ccccc1,1,0.0
6,9,6,C=CC(=O)OCC.C=CC(=C)C,CCOC(=O)C1CCC=C(C)C1,C=CC(=O)OCC.C=CC(=C)C>>CCOC(=O)C1CCC=C(C)C1,0,0.0
7,9,7,C=CC(=O)OCC.C=CC(=C)C,CCOC(=O)C1CC=C(C)CC1,C=CC(=O)OCC.C=CC(=C)C>>CCOC(=O)C1CC=C(C)CC1,1,0.0
8,10,8,C=CC1=CCc2ccccc21.CC1=CC2(C=CC1=O)OCCO2,CC12C(=O)C=CC3(OCCO3)C1CC=C1c3ccccc3CC12,C=CC1=CCc2ccccc21.CC1=CC2(C=CC1=O)OCCO2>>CC12C(=O)C=CC3(OCCO3)C1CC=C1c3ccccc3CC12,0,0.0
9,10,9,C=CC1=CCc2ccccc21.CC1=CC2(C=CC1=O)OCCO2,CC1=CC2(OCCO2)C2CC=C3c4ccccc4CC3C2C1=O,C=CC1=CCc2ccccc21.CC1=CC2(C=CC1=O)OCCO2>>CC1=CC2(OCCO2)C2CC=C3c4ccccc4CC3C2C1=O,1,0.0
10,10,10,C=CC1=CCc2ccccc21.CC1=CC2(C=CC1=O)OCCO2,CC1=CC2(OCCO2)C2C(CC=C3c4ccccc4CC32)C1=O,C=CC1=CCc2ccccc21.CC1=CC2(C=CC1=O)OCCO2>>CC1=CC2(OCCO2)C2C(CC=C3c4ccccc4CC32)C1=O,0,0.0
11,10,11,C=CC1=CCc2ccccc21.CC1=CC2(C=CC1=O)OCCO2,CC12CC=C3c4ccccc4CC3C1C1(C=CC2=O)OCCO1,C=CC1=CCc2ccccc21.CC1=CC2(C=CC1=O)OCCO2>>CC12CC=C3c4ccccc4CC3C1C1(C=CC2=O)OCCO1,0,0.0
12,11,12,COC(=O)C=CC(C)=O.C=CC(=C)O[Si](C)(C)C(C)(C)C,COC(=O)C1CC(O[Si](C)(C)C(C)(C)C)=CCC1C(C)=O,COC(=O)C=CC(C)=O.C=CC(=C)O[Si](C)(C)C(C)(C)C>>COC(=O)C1CC(O[Si](C)(C)C(C)(C)C)=CCC1C(C)=O,1,0.0
13,11,13,COC(=O)C=CC(C)=O.C=CC(=C)O[Si](C)(C)C(C)(C)C,COC(=O)C1CC=C(O[Si](C)(C)C(C)(C)C)CC1C(C)=O,COC(=O)C=CC(C)=O.C=CC(=C)O[Si](C)(C)C(C)(C)C>>COC(=O)C1CC=C(O[Si](C)(C)C(C)(C)C)CC1C(C)=O,0,0.0
14,15,14,C=CC(=O)OC.C=CC=CN(C(=O)CC)C(C)C,CCC(=O)N(C(C)C)C1C=CCCC1C(=O)OC,C=CC(=O)OC.C=CC=CN(C(=O)CC)C(C)C>>CCC(=O)N(C(C)C)C1C=CCCC1C(=O)OC,1,0.0
15,15,15,C=CC(=O)OC.C=CC=CN(C(=O)CC)C(C)C,CCC(=O)N(C(C)C)C1C=CCC(C(=O)OC)C1,C=CC(=O)OC.C=CC=CN(C(=O)CC)C(C)C>>CCC(=O)N(C(C)C)C1C=CCC(C(=O)OC)C1,0,0.0
16,17,16,C=CC=CC.CCOS(=O)C=CC(=O)OC,CCOS(=O)C1C(C)C=CCC1C(=O)OC,C=CC=CC.CCOS(=O)C=CC(=O)OC>>CCOS(=O)C1C(C)C=CCC1C(=O)OC,0,0.0
17,17,17,C=CC=CC.CCOS(=O)C=CC(=O)OC,CCOS(=O)C1CC=CC(C)C1C(=O)OC,C=CC=CC.CCOS(=O)C=CC(=O)OC>>CCOS(=O)C1CC=CC(C)C1C(=O)OC,1,0.0
18,19,18,C=C(C=COCC)C(NC(C)=O)c1ccccc1.C=CC(C)=O,CCOC1C=C(C(NC(C)=O)c2ccccc2)CCC1C(C)=O,C=C(C=COCC)C(NC(C)=O)c1ccccc1.C=CC(C)=O>>CCOC1C=C(C(NC(C)=O)c2ccccc2)CCC1C(C)=O,1,0.0
19,19,19,C=C(C=COCC)C(NC(C)=O)c1ccccc1.C=CC(C)=O,CCOC1C=C(C(NC(C)=O)c2ccccc2)CC(C(C)=O)C1,C=C(C=COCC)C(NC(C)=O)c1ccccc1.C=CC(C)=O>>CCOC1C=C(C(NC(C)=O)c2ccccc2)CC(C(C)=O)C1,0,0.0
20,20,20,C=CC=CCCC=CC(C)C.O=C1C=C(Br)C(=O)C=C1Br,CC(C)C=CCCC1C=CCC2C(=O)C(Br)=CC(=O)C12Br,C=CC=CCCC=CC(C)C.O=C1C=C(Br)C(=O)C=C1Br>>CC(C)C=CCCC1C=CCC2C(=O)C(Br)=CC(=O)C12Br,1,0.0
21,20,21,C=CC=CCCC=CC(C)C.O=C1C=C(Br)C(=O)C=C1Br,CC(C)C=CCCC1C=CCC2(Br)C(=O)C=C(Br)C(=O)C12,C=CC=CCCC=CC(C)C.O=C1C=C(Br)C(=O)C=C1Br>>CC(C)C=CCCC1C=CCC2(Br)C(=O)C=C(Br)C(=O)C12,0,0.0
22,21,22,FC(F)=C=C=C(F)F.C[Si](C)(C)C1C=CC=C1,C[Si](C)(C)C1C2C=CC1C(F)(F)C2=C=C(F)F,FC(F)=C=C=C(F)F.C[Si](C)(C)C1C=CC=C1>>C[Si](C)(C)C1C2C=CC1C(F)(F)C2=C=C(F)F,0,0.0
23,21,23,FC(F)=C=C=C(F)F.C[Si](C)(C)C1C=CC=C1,C[Si](C)(C)C1C2C=CC1C(=C(F)F)C2=C(F)F,FC(F)=C=C=C(F)F.C[Si](C)(C)C1C=CC=C1>>C[Si](C)(C)C1C2C=CC1C(=C(F)F)C2=C(F)F,1,0.0
24,24,24,COC1(OC)C=C(Br)C=CC1=O.C=CSc1ccccc1,COC1(OC)C(=O)C2C=C(Br)C1CC2Sc1ccccc1,COC1(OC)C=C(Br)C=CC1=O.C=CSc1ccccc1>>COC1(OC)C(=O)C2C=C(Br)C1CC2Sc1ccccc1,1,0.0
25,24,25,COC1(OC)C=C(Br)C=CC1=O.C=CSc1ccccc1,COC1(OC)C(=O)C2C=C(Br)C1C(Sc1ccccc1)C2,COC1(OC)C=C(Br)C=CC1=O.C=CSc1ccccc1>>COC1(OC)C(=O)C2C=C(Br)C1C(Sc1ccccc1)C2,0,0.0
26,25,26,C1=CCCC=C1.O=C1C=CC(=O)C(F)=C1F,O=C1C(F)=C(F)C(=O)C2C3C=CC(CC3)C12,C1=CCCC=C1.O=C1C=CC(=O)C(F)=C1F>>O=C1C(F)=C(F)C(=O)C2C3C=CC(CC3)C12,1,0.0
27,25,27,C1=CCCC=C1.O=C1C=CC(=O)C(F)=C1F,O=C1C=CC(=O)C2(F)C3C=CC(CC3)C12F,C1=CCCC=C1.O=C1C=CC(=O)C(F)=C1F>>O=C1C=CC(=O)C2(F)C3C=CC(CC3)C12F,0,0.0
28,27,28,O=C1C=CCC1.C=CC1=CCC2CC1C2(C)C,CC1(C)C2CC3C(=CCC4C(=O)CCC43)C1C2,O=C1C=CCC1.C=CC1=CCC2CC1C2(C)C>>CC1(C)C2CC3C(=CCC4C(=O)CCC43)C1C2,0,0.0
29,27,29,O=C1C=CCC1.C=CC1=CCC2CC1C2(C)C,CC1(C)C2CC3C(=CCC4CCC(=O)C43)C1C2,O=C1C=CCC1.C=CC1=CCC2CC1C2(C)C>>CC1(C)C2CC3C(=CCC4CCC(=O)C43)C1C2,1,0.0
30,30,30,C1=CCC=C1.CC1(C)CC(O)C2=C(S1)C(=O)C=CC2=O,CC1(C)CC(O)C23C(=O)C=CC(=O)C2(S1)C1C=CC3C1,C1=CCC=C1.CC1(C)CC(O)C2=C(S1)C(=O)C=CC2=O>>CC1(C)CC(O)C23C(=O)C=CC(=O)C2(S1)C1C=CC3C1,0,0.0
31,30,31,C1=CCC=C1.CC1(C)CC(O)C2=C(S1)C(=O)C=CC2=O,CC1(C)CC(O)C2=C(S1)C(=O)C1C3C=CC(C3)C1C2=O,C1=CCC=C1.CC1(C)CC(O)C2=C(S1)C(=O)C=CC2=O>>CC1(C)CC(O)C2=C(S1)C(=O)C1C3C=CC(C3)C1C2=O,1,0.0
32,33,32,CC=CC=CCOCCCC.C=CC=O,CCCCOCC1C=CC(C)C(C=O)C1,CC=CC=CCOCCCC.C=CC=O>>CCCCOCC1C=CC(C)C(C=O)C1,1,0.0
33,33,33,CC=CC=CCOCCCC.C=CC=O,CCCCOCC1C=CC(C)CC1C=O,CC=CC=CCOCCCC.C=CC=O>>CCCCOCC1C=CC(C)CC1C=O,0,0.0
34,36,34,C=CC1=CCCCC1O.C=CC(=O)OC,COC(=O)C1CC=C2C(O)CCCC2C1,C=CC1=CCCCC1O.C=CC(=O)OC>>COC(=O)C1CC=C2C(O)CCCC2C1,0,0.0
35,36,35,C=CC1=CCCCC1O.C=CC(=O)OC,COC(=O)C1CCC=C2C(O)CCCC21,C=CC1=CCCCC1O.C=CC(=O)OC>>COC(=O)C1CCC=C2C(O)CCCC21,1,0.0
36,38,36,O=C1C=CCC1.C=CC=CC,CC1C=CCC2C(=O)CCC12,O=C1C=CCC1.C=CC=CC>>CC1C=CCC2C(=O)CCC12,0,0.0
37,38,37,O=C1C=CCC1.C=CC=CC,CC1C=CCC2CCC(=O)C12,O=C1C=CCC1.C=CC=CC>>CC1C=CCC2CCC(=O)C12,1,0.0
38,42,38,O=C1C=CC(=O)C(Cc2ccccc2)=C1.C1=CCC=C1,O=C1C=C(Cc2ccccc2)C(=O)C2C3C=CC(C3)C12,O=C1C=CC(=O)C(Cc2ccccc2)=C1.C1=CCC=C1>>O=C1C=C(Cc2ccccc2)C(=O)C2C3C=CC(C3)C12,1,0.0
39,42,39,O=C1C=CC(=O)C(Cc2ccccc2)=C1.C1=CCC=C1,O=C1C=CC(=O)C2(Cc3ccccc3)C3C=CC(C3)C12,O=C1C=CC(=O)C(Cc2ccccc2)=C1.C1=CCC=C1>>O=C1C=CC(=O)C2(Cc3ccccc3)C3C=CC(C3)C12,0,0.0
