,reaction_idx,uid,substrates,products,solvent,reaction_smiles,label,simulation_idx
0,0,0,OC(=O)CCCCCCCCCC(O)=O.CC1=C(SC=N1)C1=CC=C(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)C=C1,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CCCCCCCCCC(=O)O)C(C)(C)C)cc1,CH2Cl2,OC(=O)CCCCCCCCCC(O)=O.CC1=C(SC=N1)C1=CC=C(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)C=C1>>Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CCCCCCCCCC(=O)O)C(C)(C)C)cc1,1,0.0
1,0,1,OC(=O)CCCCCCCCCC(O)=O.CC1=C(SC=N1)C1=CC=C(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)C=C1,Cc1ncsc1-c1ccc(CN(C(=O)CCCCCCCCCC(=O)O)C(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,CH2Cl2,OC(=O)CCCCCCCCCC(O)=O.CC1=C(SC=N1)C1=CC=C(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)C=C1>>Cc1ncsc1-c1ccc(CN(C(=O)CCCCCCCCCC(=O)O)C(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,0,0.0
2,1,2,OC(=O)CCCCCCCCC(O)=O.CC1=C(SC=N1)C1=CC=C(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)C=C1,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CCCCCCCCC(=O)O)C(C)(C)C)cc1,CH2Cl2,OC(=O)CCCCCCCCC(O)=O.CC1=C(SC=N1)C1=CC=C(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)C=C1>>Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CCCCCCCCC(=O)O)C(C)(C)C)cc1,1,0.0
3,1,3,OC(=O)CCCCCCCCC(O)=O.CC1=C(SC=N1)C1=CC=C(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)C=C1,Cc1ncsc1-c1ccc(CN(C(=O)CCCCCCCCC(=O)O)C(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,CH2Cl2,OC(=O)CCCCCCCCC(O)=O.CC1=C(SC=N1)C1=CC=C(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)C=C1>>Cc1ncsc1-c1ccc(CN(C(=O)CCCCCCCCC(=O)O)C(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,0,0.0
4,2,4,NC1=CC=C2C=C(Br)C=CC2=C1N.CC(C)(C)OC(=O)N1CCC[C@H]1C(O)=O,CC(C)(C)OC(=O)N1CCCC1C(=O)Nc1c(N)ccc2cc(Br)ccc12,CH2Cl2,NC1=CC=C2C=C(Br)C=CC2=C1N.CC(C)(C)OC(=O)N1CCC[C@H]1C(O)=O>>CC(C)(C)OC(=O)N1CCCC1C(=O)Nc1c(N)ccc2cc(Br)ccc12,0,0.0
5,2,5,NC1=CC=C2C=C(Br)C=CC2=C1N.CC(C)(C)OC(=O)N1CCC[C@H]1C(O)=O,CC(C)(C)OC(=O)N1CCCC1C(=O)Nc1ccc2cc(Br)ccc2c1N,CH2Cl2,NC1=CC=C2C=C(Br)C=CC2=C1N.CC(C)(C)OC(=O)N1CCC[C@H]1C(O)=O>>CC(C)(C)OC(=O)N1CCCC1C(=O)Nc1ccc2cc(Br)ccc2c1N,1,0.0
6,3,6,CC(C)(C)OC(=O)NCCON.[H][C@]12CN([C@@H](CC1)C(O)=O)C(=O)N2OCC1=CC=CC=C1,CC(C)(C)OC(=O)N(CCON)C(=O)C1CCC2CN1C(=O)N2OCc1ccccc1,CH2Cl2,CC(C)(C)OC(=O)NCCON.[H][C@]12CN([C@@H](CC1)C(O)=O)C(=O)N2OCC1=CC=CC=C1>>CC(C)(C)OC(=O)N(CCON)C(=O)C1CCC2CN1C(=O)N2OCc1ccccc1,0,0.0
7,3,7,CC(C)(C)OC(=O)NCCON.[H][C@]12CN([C@@H](CC1)C(O)=O)C(=O)N2OCC1=CC=CC=C1,CC(C)(C)OC(=O)NCCONC(=O)C1CCC2CN1C(=O)N2OCc1ccccc1,CH2Cl2,CC(C)(C)OC(=O)NCCON.[H][C@]12CN([C@@H](CC1)C(O)=O)C(=O)N2OCC1=CC=CC=C1>>CC(C)(C)OC(=O)NCCONC(=O)C1CCC2CN1C(=O)N2OCc1ccccc1,1,0.0
8,4,8,[H][C@@]12O[C@@]1(C)[C@H](CC(=O)N(C)C1=C(Cl)C(OC)=CC(C\C(C)=C\C=C\[C@@H](OC)[C@@]3(O)C[C@]([H])(OC(=O)N3)[C@H]2C)=C1)OC(=O)[C@H](C)NC.CC(C)(C)OC(=O)CCOCCOCCN(C1CCN(CC1)C(=O)OC(C)(C)C)C(=O)CCC(O)=O,COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)N(C)C(=O)CCC(=O)N(CCOCCOCCC(=O)OC(C)(C)C)C1CCN(C(=O)OC(C)(C)C)CC1)C1(C)OC1C(C)C1CC(O)(NC(=O)O1)C(OC)C=CC=C(C)C2,CH2Cl2,[H][C@@]12O[C@@]1(C)[C@H](CC(=O)N(C)C1=C(Cl)C(OC)=CC(C\C(C)=C\C=C\[C@@H](OC)[C@@]3(O)C[C@]([H])(OC(=O)N3)[C@H]2C)=C1)OC(=O)[C@H](C)NC.CC(C)(C)OC(=O)CCOCCOCCN(C1CCN(CC1)C(=O)OC(C)(C)C)C(=O)CCC(O)=O>>COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)N(C)C(=O)CCC(=O)N(CCOCCOCCC(=O)OC(C)(C)C)C1CCN(C(=O)OC(C)(C)C)CC1)C1(C)OC1C(C)C1CC(O)(NC(=O)O1)C(OC)C=CC=C(C)C2,1,0.0
9,4,9,[H][C@@]12O[C@@]1(C)[C@H](CC(=O)N(C)C1=C(Cl)C(OC)=CC(C\C(C)=C\C=C\[C@@H](OC)[C@@]3(O)C[C@]([H])(OC(=O)N3)[C@H]2C)=C1)OC(=O)[C@H](C)NC.CC(C)(C)OC(=O)CCOCCOCCN(C1CCN(CC1)C(=O)OC(C)(C)C)C(=O)CCC(O)=O,CNC(C)C(=O)OC1CC(=O)N(C)c2cc(cc(OC)c2Cl)CC(C)=CC=CC(OC)C2(O)CC(OC(=O)N2C(=O)CCC(=O)N(CCOCCOCCC(=O)OC(C)(C)C)C2CCN(C(=O)OC(C)(C)C)CC2)C(C)C2OC12C,CH2Cl2,[H][C@@]12O[C@@]1(C)[C@H](CC(=O)N(C)C1=C(Cl)C(OC)=CC(C\C(C)=C\C=C\[C@@H](OC)[C@@]3(O)C[C@]([H])(OC(=O)N3)[C@H]2C)=C1)OC(=O)[C@H](C)NC.CC(C)(C)OC(=O)CCOCCOCCN(C1CCN(CC1)C(=O)OC(C)(C)C)C(=O)CCC(O)=O>>CNC(C)C(=O)OC1CC(=O)N(C)c2cc(cc(OC)c2Cl)CC(C)=CC=CC(OC)C2(O)CC(OC(=O)N2C(=O)CCC(=O)N(CCOCCOCCC(=O)OC(C)(C)C)C2CCN(C(=O)OC(C)(C)C)CC2)C(C)C2OC12C,0,0.0
