,Unnamed: 0,reaction_idx,reaction_type,uid,substrates,products,solvent,reaction_smiles,label,simulation_idx,smiles
0,0,0,2,0,C1CC2=CC=CC=C2O1.CC(Cl)=O,CC(=O)c1cccc2c1CCO2,CH2Cl2,C1CC2=CC=CC=C2O1.CC(Cl)=O>>CC(=O)c1cccc2c1CCO2,0,0.0,Cl[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[CH2:10][CH2:11][O:12]2>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[CH2:10][CH2:11][O:12]2
1,1,0,2,1,C1CC2=CC=CC=C2O1.CC(Cl)=O,CC(=O)c1ccc2c(c1)OCC2,CH2Cl2,C1CC2=CC=CC=C2O1.CC(Cl)=O>>CC(=O)c1ccc2c(c1)OCC2,0,0.0,Cl[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][cH:6][c:8]2[c:7]([cH:9]1)[CH2:12][CH2:11][O:10]2>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[O:10][CH2:11][CH2:12]2
2,2,0,2,2,C1CC2=CC=CC=C2O1.CC(Cl)=O,CC(=O)c1cccc2c1OCC2,CH2Cl2,C1CC2=CC=CC=C2O1.CC(Cl)=O>>CC(=O)c1cccc2c1OCC2,0,0.0,Cl[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[O:10][CH2:11][CH2:12]2>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[O:10][CH2:11][CH2:12]2
3,3,0,2,3,C1CC2=CC=CC=C2O1.CC(Cl)=O,CC(=O)c1ccc2c(c1)CCO2,CH2Cl2,C1CC2=CC=CC=C2O1.CC(Cl)=O>>CC(=O)c1ccc2c(c1)CCO2,1,0.0,Cl[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[CH2:10][CH2:11][O:12]2>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[CH2:10][CH2:11][O:12]2
4,4,1,2,4,BrC1=CC=C2NC=CC2=C1.CC(Cl)=O,CC(=O)c1cc(Br)cc2cc[nH]c12,Toluene,BrC1=CC=C2NC=CC2=C1.CC(Cl)=O>>CC(=O)c1cc(Br)cc2cc[nH]c12,0,0.0,[cH:4]1[cH:5][c:6]([Br:7])[cH:8][c:9]2[cH:10][cH:11][nH:12][c:13]12.Cl[C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]([Br:7])[cH:8][c:9]2[cH:10][cH:11][nH:12][c:13]12
5,5,1,2,5,BrC1=CC=C2NC=CC2=C1.CC(Cl)=O,CC(=O)c1cc2[nH]ccc2cc1Br,Toluene,BrC1=CC=C2NC=CC2=C1.CC(Cl)=O>>CC(=O)c1cc2[nH]ccc2cc1Br,0,0.0,[cH:4]1[cH:5][c:6]2[nH:7][cH:8][cH:9][c:10]2[cH:11][c:12]1[Br:13].Cl[C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[nH:7][cH:8][cH:9][c:10]2[cH:11][c:12]1[Br:13]
6,6,1,2,6,BrC1=CC=C2NC=CC2=C1.CC(Cl)=O,CC(=O)c1cc2cc(Br)ccc2[nH]1,Toluene,BrC1=CC=C2NC=CC2=C1.CC(Cl)=O>>CC(=O)c1cc2cc(Br)ccc2[nH]1,0,0.0,[cH:4]1[cH:5][c:6]2[cH:7][c:8]([Br:9])[cH:10][cH:11][c:12]2[nH:13]1.Cl[C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[cH:7][c:8]([Br:9])[cH:10][cH:11][c:12]2[nH:13]1
7,7,1,2,7,BrC1=CC=C2NC=CC2=C1.CC(Cl)=O,CC(=O)c1c(Br)ccc2[nH]ccc12,Toluene,BrC1=CC=C2NC=CC2=C1.CC(Cl)=O>>CC(=O)c1c(Br)ccc2[nH]ccc12,0,0.0,[cH:4]1[c:5]([Br:6])[cH:7][cH:8][c:9]2[nH:10][cH:11][cH:12][c:13]12.Cl[C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[c:4]1[c:5]([Br:6])[cH:7][cH:8][c:9]2[nH:10][cH:11][cH:12][c:13]12
8,8,1,2,8,BrC1=CC=C2NC=CC2=C1.CC(Cl)=O,CC(=O)c1c[nH]c2ccc(Br)cc12,Toluene,BrC1=CC=C2NC=CC2=C1.CC(Cl)=O>>CC(=O)c1c[nH]c2ccc(Br)cc12,1,0.0,[cH:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([Br:11])[cH:12][c:13]12.Cl[C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([Br:11])[cH:12][c:13]12
9,9,2,2,9,ClCC(Cl)=O.CC1=CC=CC=C1,Cc1ccccc1C(=O)CCl,Toluene,ClCC(Cl)=O.CC1=CC=CC=C1>>Cc1ccccc1C(=O)CCl,0,0.0,[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.Cl[C:8](=[O:9])[CH2:10][Cl:11]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8](=[O:9])[CH2:10][Cl:11]
