,smiles,descriptors
0,Cl[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[CH2:10][CH2:11][O:12]2>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[CH2:10][CH2:11][O:12]2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Cl[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][cH:6][c:8]2[c:7]([cH:9]1)[CH2:12][CH2:11][O:10]2>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[O:10][CH2:11][CH2:12]2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,Cl[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[O:10][CH2:11][CH2:12]2>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[O:10][CH2:11][CH2:12]2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,Cl[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[CH2:10][CH2:11][O:12]2>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[CH2:10][CH2:11][O:12]2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,[cH:4]1[cH:5][c:6]([Br:7])[cH:8][c:9]2[cH:10][cH:11][nH:12][c:13]12.Cl[C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]([Br:7])[cH:8][c:9]2[cH:10][cH:11][nH:12][c:13]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,[cH:4]1[cH:5][c:6]2[nH:7][cH:8][cH:9][c:10]2[cH:11][c:12]1[Br:13].Cl[C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[nH:7][cH:8][cH:9][c:10]2[cH:11][c:12]1[Br:13],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,[cH:4]1[cH:5][c:6]2[cH:7][c:8]([Br:9])[cH:10][cH:11][c:12]2[nH:13]1.Cl[C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[cH:7][c:8]([Br:9])[cH:10][cH:11][c:12]2[nH:13]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,[cH:4]1[c:5]([Br:6])[cH:7][cH:8][c:9]2[nH:10][cH:11][cH:12][c:13]12.Cl[C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[c:4]1[c:5]([Br:6])[cH:7][cH:8][c:9]2[nH:10][cH:11][cH:12][c:13]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,[cH:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([Br:11])[cH:12][c:13]12.Cl[C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([Br:11])[cH:12][c:13]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.Cl[C:8](=[O:9])[CH2:10][Cl:11]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8](=[O:9])[CH2:10][Cl:11],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:10][cH:11]1.Cl[C:6](=[O:7])[CH2:8][Cl:9]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[CH2:8][Cl:9])[cH:10][cH:11]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:11]1.Cl[C:7](=[O:8])[CH2:9][Cl:10]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([C:7](=[O:8])[CH2:9][Cl:10])[cH:11]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[Br:11].Cl[C:2](=[O:1])[CH2:3][Cl:4]>>[O:1]=[C:2]([CH2:3][Cl:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[Br:11],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,[cH:5]1[cH:6][cH:7][cH:8][c:9]([Br:10])[cH:11]1.Cl[C:2](=[O:1])[CH2:3][Cl:4]>>[O:1]=[C:2]([CH2:3][Cl:4])[c:5]1[cH:6][cH:7][cH:8][c:9]([Br:10])[cH:11]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,[cH:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1.Cl[C:2](=[O:1])[CH2:3][Cl:4]>>[O:1]=[C:2]([CH2:3][Cl:4])[c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:14]1[O:15][CH3:16].Cl[C:8](=[O:9])[CH2:10][CH2:11][CH2:12][Cl:13]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]([C:8](=[O:9])[CH2:10][CH2:11][CH2:12][Cl:13])[c:14]1[O:15][CH3:16],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:13][c:14]1[O:15][CH3:16].Cl[C:7](=[O:8])[CH2:9][CH2:10][CH2:11][Cl:12]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[CH2:9][CH2:10][CH2:11][Cl:12])[cH:13][c:14]1[O:15][CH3:16],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,Cl[C:29]([CH3:30])=[O:31].[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][c:20]([Br:21])[cH:22][cH:23][c:24]2-[c:25]2[cH:26][cH:27][cH:28][cH:32][c:33]21>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][c:20]([Br:21])[cH:22][cH:23][c:24]2-[c:25]2[cH:26][cH:27][c:28]([C:29]([CH3:30])=[O:31])[cH:32][c:33]21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,Cl[C:22]([CH3:23])=[O:24].[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][cH:20][cH:21][cH:25][c:26]2-[c:27]2[cH:28][cH:29][c:30]([Br:31])[cH:32][c:33]21>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][cH:20][c:21]([C:22]([CH3:23])=[O:24])[cH:25][c:26]2-[c:27]2[cH:28][cH:29][c:30]([Br:31])[cH:32][c:33]21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
